Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
MK540241.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,BLT001,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate BLT001, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-21
MK540242.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,BLT002,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate BLT002, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-13
MK540243.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,C666,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate C666, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",1998
MK540244.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT001,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT001, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540245.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT002,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT002, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540246.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT003,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT003, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540247.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT004,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT004, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540248.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT005,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT005, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540249.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT006,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT006, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540250.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT007,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT007, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540251.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT009,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT009, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540252.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT010,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT010, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540253.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT011,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT011, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540254.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT012,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT012, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540255.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT013,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT013, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540256.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,GCT014,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate GCT014, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540257.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HLT001,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HLT001, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2011-11-24
MK540258.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HLT002,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HLT002, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-05-11
MK540259.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HLT005,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HLT005, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-06-27
MK540260.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HLT006,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HLT006, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-07-16
MK540261.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HLT007,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HLT007, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-05-02
MK540262.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HLT010,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HLT010, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-09
MK540263.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HLT011,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HLT011, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-28
MK540264.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS001,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS001, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-01
MK540265.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS003,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS003, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-01
MK540266.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS007,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS007, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2010-11-06
MK540267.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS008,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS008, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2011-01-11
MK540268.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS009,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS009, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2011-01-28
MK540269.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS011,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS011, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2011-03-02
MK540270.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS012,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS012, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2011-11-13
MK540271.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS013,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS013, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-02-22
MK540272.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS014,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS014, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-02-23
