Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_001467.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA A,"African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence",2779,complete,,,Manihot esculenta,,A,west kenyan 844,west kenyan 844, || begomovirus manihotis || begomovirus manihotis || complete ||  ||  || manihot esculenta ||  || west kenyan 844
PV297830.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bondou:CI329:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bondou:CI329:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01,B,acmv-b[ci:bondou:ci329:20],acmv-b[ci:bondou:ci329:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-09-01 || acmv-b[ci:bondou:ci329:20]
PV297831.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bondou:CI339:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bondou:CI339:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01,B,acmv-b[ci:bondou:ci339:20],acmv-b[ci:bondou:ci339:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-09-01 || acmv-b[ci:bondou:ci339:20]
PV297832.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bongou:CI109:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bongou:CI109:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01,B,acmv-b[ci:bongou:ci109:20],acmv-b[ci:bongou:ci109:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-09-01 || acmv-b[ci:bongou:ci109:20]
PV297833.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bonou:CI11:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bonou:CI11:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:bonou:ci11:20],acmv-b[ci:bonou:ci11:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:bonou:ci11:20]
PV297834.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Daloa:CI152:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Daloa:CI152:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:daloa:ci152:20],acmv-b[ci:daloa:ci152:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:daloa:ci152:20]
PV297835.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Daouk:CI113:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Daouk:CI113:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:daouk:ci113:20],acmv-b[ci:daouk:ci113:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:daouk:ci113:20]
PV297836.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Duek:CI167:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Duek:CI167:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:duek:ci167:20],acmv-b[ci:duek:ci167:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:duek:ci167:20]
PV297837.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Ferke:CI277:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Ferke:CI277:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:ferke:ci277:20],acmv-b[ci:ferke:ci277:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:ferke:ci277:20]
PV297838.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Guig:CI244:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Guig:CI244:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:guig:ci244:20],acmv-b[ci:guig:ci244:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:guig:ci244:20]
PV297839.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:KounF:CI311:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:KounF:CI311:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:kounf:ci311:20],acmv-b[ci:kounf:ci311:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:kounf:ci311:20]
PV297840.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:KounF:CI313:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:KounF:CI313:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:kounf:ci313:20],acmv-b[ci:kounf:ci313:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:kounf:ci313:20]
PV297841.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Logoua:CI170:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Logoua:CI170:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:logoua:ci170:20],acmv-b[ci:logoua:ci170:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:logoua:ci170:20]
PV297842.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Manko:CI383:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Manko:CI383:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:manko:ci383:20],acmv-b[ci:manko:ci383:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:manko:ci383:20]
PV297843.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Odien:CI247:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Odien:CI247:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:odien:ci247:20],acmv-b[ci:odien:ci247:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:odien:ci247:20]
PV297844.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Saiou:CI258:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Saiou:CI258:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:saiou:ci258:20],acmv-b[ci:saiou:ci258:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:saiou:ci258:20]
PV297845.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Sassan:CI81:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Sassan:CI81:20] segment DNA-B, complete sequence",2722,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:sassan:ci81:20],acmv-b[ci:sassan:ci81:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:sassan:ci81:20]
PV297846.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Sassan:CI83:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Sassan:CI83:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:sassan:ci83:20],acmv-b[ci:sassan:ci83:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:sassan:ci83:20]
PV297847.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Sassan:CI191:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Sassan:CI191:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22,B,acmv-b[ci:sassan:ci191:20],acmv-b[ci:sassan:ci191:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-22 || acmv-b[ci:sassan:ci191:20]
PV297848.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Segue:CI349:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Segue:CI349:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:segue:ci349:20],acmv-b[ci:segue:ci349:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:segue:ci349:20]
PV297849.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Segue:CI372:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Segue:CI372:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:segue:ci372:20],acmv-b[ci:segue:ci372:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:segue:ci372:20]
PV297850.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Tingr:CI279:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Tingr:CI279:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:tingr:ci279:20],acmv-b[ci:tingr:ci279:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:tingr:ci279:20]
PV297851.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Touba:CI240:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Touba:CI240:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:touba:ci240:20],acmv-b[ci:touba:ci240:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:touba:ci240:20]
PQ261058.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-22,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-22 segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-22,acmv-ci008-2-22, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-22
PQ261059.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-9,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-9 segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-9,acmv-ci008-2-9, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-9
PQ261060.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-5,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-5 segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-5,acmv-ci008-2-5, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-5
PQ261061.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-29,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-29 segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-29,acmv-ci008-2-29, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-29
PQ261062.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-43,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-43 segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-43,acmv-ci008-2-43, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-43
PQ261063.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-61,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-61 segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-61,acmv-ci008-2-61, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-61
PQ261064.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-18,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-18 segment DNA-A, complete sequence",2788,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-18,acmv-ci008-2-18, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-18
PQ261065.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-34,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-34 segment DNA-A, complete sequence",2785,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-34,acmv-ci008-2-34, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-34
PQ261066.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-2-6,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-2-6 segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-2-6,acmv-ci008-2-6, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-6
PQ261067.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-2-59,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-2-59 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,B,acmv-b-ci008-2-59,acmv-ci008-2-59, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-59
PQ261068.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-2-101,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-2-101 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,B,acmv-b-ci008-2-101,acmv-ci008-2-101, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-101
PQ261069.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-1-11,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-1-11 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,B,acmv-b-ci008-1-11,acmv-ci008-1-11, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-1-11
PQ261070.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-2-123,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-2-123 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,B,acmv-b-ci008-2-123,acmv-ci008-2-123, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-2-123
PQ261071.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-A-CI008-01_A_M,DNA-A,"Begomovirus manihotis isolate ACMV-A-CI008-01_A_M segment DNA-A, complete sequence",2784,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,A,acmv-a-ci008-01_a_m,acmv-ci008-01-m, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-01-m
PQ261072.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-01_B_M,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-01_B_M segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18,B,acmv-b-ci008-01_b_m,acmv-ci008-01-m, || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2022-01-18 || acmv-ci008-01-m
PX289778.1,,Begomovirus manihotis,Begomovirus manihotis,CMD03A,DNA-A,"Begomovirus manihotis isolate CMD03A segment DNA-A, complete sequence",2781,complete,Nigeria: Oyo,Nigeria,Manihot esculenta,2020-09-12,A,cmd03a,cmd03, || begomovirus manihotis || begomovirus manihotis || complete || nigeria: oyo || nigeria || manihot esculenta || 2020-09-12 || cmd03
