Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
PV297838.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Guig:CI244:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Guig:CI244:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297839.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:KounF:CI311:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:KounF:CI311:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297840.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:KounF:CI313:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:KounF:CI313:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297841.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Logoua:CI170:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Logoua:CI170:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297842.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Manko:CI383:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Manko:CI383:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297843.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Odien:CI247:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Odien:CI247:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297844.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Saiou:CI258:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Saiou:CI258:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297847.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Sassan:CI191:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Sassan:CI191:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297845.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Sassan:CI81:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Sassan:CI81:20] segment DNA-B, complete sequence",2722,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297846.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Sassan:CI83:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Sassan:CI83:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297817.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abeng:CI51:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abeng:CI51:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-28
PV297818.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abeng:CI55:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abeng:CI55:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297819.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI6:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI6:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297820.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI92:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI92:20] segment DNA-B, complete sequence",2729,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297821.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI99:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI99:20] segment DNA-B, complete sequence",2720,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297826.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Alepe:CI16:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Alepe:CI16:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297848.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Segue:CI349:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Segue:CI349:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297849.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Segue:CI372:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Segue:CI372:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297850.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Tingr:CI279:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Tingr:CI279:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297851.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Touba:CI240:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Touba:CI240:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297829.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bass:CI1:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bass:CI1:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PV297830.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bondou:CI329:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bondou:CI329:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PV297831.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bondou:CI339:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bondou:CI339:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PV297832.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bongou:CI109:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bongou:CI109:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PQ261069.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-1-11,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-1-11 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18
PQ261068.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-2-101,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-2-101 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18
PQ261070.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-2-123,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-2-123 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18
PQ261067.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B-CI008-2-59,DNA-B,"Begomovirus manihotis isolate ACMV-B-CI008-2-59 segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2022-01-18
LC724016.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[CI:Aboi:CI71:17],DNA-B,"African cassava mosaic virus ACMV-[CI:Aboi:CI71:17] DNA, segment DNA-B, complete sequence",2722,complete,Cote d'Ivoire: Aboisso,Cote d'Ivoire,Centrosema pubescens,2017-09-20
LC724017.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[CI:Aboi:CI72:17],DNA-B,"African cassava mosaic virus ACMV-[CI:Aboi:CI72:17] DNA, segment DNA-B, complete sequence",2722,complete,Cote d'Ivoire: Aboisso,Cote d'Ivoire,Centrosema pubescens,2017-09-20
LC723867.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[CI:Bou:CI5:17],DNA-B,"African cassava mosaic virus ACMV-[CI:Bou:CI5:17] DNA, segment DNA-B, complete sequence",2719,complete,Cote d'Ivoire: Bouake,Cote d'Ivoire,Asystasia gangetica,2017-09-20
LC723866.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[CI:Bou:CI6:17],DNA-B,"African cassava mosaic virus ACMV-[CI:Bou:CI6:17] DNA, segment DNA-B, complete sequence",2721,complete,Cote d'Ivoire: Bouake,Cote d'Ivoire,Asystasia gangetica,2017-09-20
LC723868.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[CI:Bou:CI10:17],DNA-B,"African cassava mosaic virus ACMV-[CI:Bou:CI10:17] DNA, segment DNA-B, complete sequence",2722,complete,Cote d'Ivoire: Bouake,Cote d'Ivoire,Centrosema pubescens,2017-09-20
MH646720.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH_AK17B_13,DNA-B,"Begomovirus manihotis isolate ACMV_GH_AK17B_13 segment DNA-B, complete sequence",2722,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646719.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK11B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK11B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646714.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK12B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK12B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646717.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK13B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK13B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646718.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK14B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK14B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646716.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK15B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK15B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646715.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK16B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK16B:13 segment DNA-B, complete sequence",2727,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646721.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:BU15B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:BU15B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646722.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:BU16B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:BU16B:13 segment DNA-B, complete sequence",2723,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646723.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:BW10B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:BW10B:13 segment DNA-B, complete sequence",2727,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646702.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU10B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU10B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646701.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU5B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU5B:13 segment DNA-B, complete sequence",2606,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646697.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU6B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU6B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646698.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU7B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU7B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646699.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU8B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU8B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646700.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU9B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU9B:13 segment DNA-B, complete sequence",2726,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646686.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM10B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM10B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646683.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM11B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM11B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646685.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM12B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM12B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646689.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM13B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM13B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646688.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM14B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM14B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646692.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM4B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM4B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646690.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM5B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM5B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646691.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM6B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM6B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646693.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM7B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM7B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646684.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM8B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM8B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646687.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM9B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM9B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646709.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW13B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW13B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646710.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW14B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW14B:13 segment DNA-B, complete sequence",2726,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646706.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW16B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW16B:13 segment DNA-B, complete sequence",2778,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646705.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW17B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW17B:13 segment DNA-B, complete sequence",2688,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646707.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW18B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW18B:13 segment DNA-B, complete sequence",2685,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646703.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW19B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW19B:13 segment DNA-B, complete sequence",2625,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646704.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW20B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW20B:13 segment DNA-B, complete sequence",2735,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646711.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW21B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW21B:13 segment DNA-B, complete sequence",2721,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646712.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW22B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW22B:13 segment DNA-B, complete sequence",2719,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646708.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW23B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW23B:13 segment DNA-B, complete sequence",2685,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646713.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KWB15:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KWB15:13 segment DNA-B, complete sequence",2723,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646695.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:MO15B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:MO15B:13 segment DNA-B, complete sequence",2727,complete,Ghana,Ghana,Manihot esculenta,2013-08
MH646696.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:MO16B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:MO16B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08
HG530117.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI73:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI73:12",2724,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012
HG530118.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI74:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI74:12",2706,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012
HG530120.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI75:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI75:12",2725,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012
HG530119.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI77:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI77:12",2724,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012
HG530121.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI83:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI83:12",2724,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012
HG530122.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI92:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI92:12",2723,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012
PX289794.1,,Begomovirus manihotis,Begomovirus manihotis,CMD02B,DNA-B,"Begomovirus manihotis isolate CMD02B segment DNA-B, complete sequence",2726,complete,Nigeria: Oyo,Nigeria,Manihot esculenta,2020-09-12
KR476374.1,,Begomovirus manihotis,Begomovirus manihotis,TG:Con5:14,DNA-B,"Begomovirus manihotis isolate TG:Con5:14 segment DNA-B, complete sequence",2727,complete,Togo,Togo,Manihot esculenta,2014-08-10
HE979784.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI10:12]DNA-B,DNA-B,"African cassava mosaic virus segment DNA-B, isolate ACMV-[UG:Nam:CMD-MI10:12]DNA-B, complete genome",2725,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979785.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI12:12]DNA-B,DNA-B,"African cassava mosaic virus segment DNA-B, isolate ACMV-[UG:Nam:CMD-MI12:12]DNA-B, complete genome",2725,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979786.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI18:12]DNA-B,DNA-B,"African cassava mosaic virus segment DNA-B, isolate ACMV-[UG:Nam:CMD-MI18:12]DNA-B, complete genome",2724,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979781.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI1:12]DNA-B,DNA-B,"African cassava mosaic virus segment DNA-B, isolate ACMV-[UG:Nam:CMD-MI1:12]DNA-B, complete genome",2724,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979787.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI20:12]DNA-B,DNA-B,"African cassava mosaic virus segment DNA-B, isolate ACMV-[UG:Nam:CMD-MI20:12]DNA-B, complete genome",2724,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
