Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_004676,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA B,"East African cassava mosaic virus DNA B, complete sequence",2777,complete,Uganda,Uganda,,,B,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda || uganda ||  ||  || 
MT821901,,East African cassava mosaic virus,Begomovirus manihotisafricaense,W-Lu-ZM15-E,DNA-A,"East African cassava mosaic virus isolate W-Lu-ZM15-E segment DNA-A, complete sequence",2799,complete,Zambia,Zambia,Manihot esculenta,2013,A,w-lu-zm15-e,w-lu-zm15-e, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || zambia || zambia || manihot esculenta || 2013 || w-lu-zm15-e
MT821902,,East African cassava mosaic virus,Begomovirus manihotisafricaense,W-Mo-ZM17-E,DNA-A,"East African cassava mosaic virus isolate W-Mo-ZM17-E segment DNA-A, complete sequence",2801,complete,Zambia,Zambia,Manihot esculenta,2013,A,w-mo-zm17-e,w-mo-zm17-e, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || zambia || zambia || manihot esculenta || 2013 || w-mo-zm17-e
MT821903,,East African cassava mosaic virus,Begomovirus manihotisafricaense,W-Mo-ZM18-E,DNA-A,"East African cassava mosaic virus isolate W-Mo-ZM18-E segment DNA-A, complete sequence",2799,complete,Zambia,Zambia,Manihot esculenta,2013,A,w-mo-zm18-e,w-mo-zm18-e, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || zambia || zambia || manihot esculenta || 2013 || w-mo-zm18-e
MZ595264,,East African cassava mosaic virus,Begomovirus manihotisafricaense,TZ PMB 14,A,"East African cassava mosaic virus isolate TZ PMB 14 segment A, complete sequence",2739,complete,Tanzania,Tanzania,,2018-08-18,A,tz pmb 14,tz pmb 14, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania ||  || 2018-08-18 || tz pmb 14
MZ494476,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Ngazidja1.1,DNA-B,"East African cassava mosaic virus isolate Comoros:Ngazidja1.1 segment DNA-B, complete sequence",2752,complete,Comoros,Comoros,Manihot esculenta,2019-07-02,B,comoros:ngazidja1.1,comoros:ngazidja1.1, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || comoros || comoros || manihot esculenta || 2019-07-02 || comoros:ngazidja1.1
MZ494479,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Nzwani13.5,DNA-B,"East African cassava mosaic virus isolate Comoros:Nzwani13.5 segment DNA-B, complete sequence",2764,complete,Comoros,Comoros,Manihot esculenta,2019-07-11,B,comoros:nzwani13.5,comoros:nzwani13.5, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || comoros || comoros || manihot esculenta || 2019-07-11 || comoros:nzwani13.5
MZ494482,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Ngazidja1.1,DNA-A,"East African cassava mosaic virus isolate Comoros:Ngazidja1.1 segment DNA-A, complete sequence",2802,complete,Comoros,Comoros,Manihot esculenta,2019-07-02,A,comoros:ngazidja1.1,comoros:ngazidja1.1, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || comoros || comoros || manihot esculenta || 2019-07-02 || comoros:ngazidja1.1
MZ494483,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Ngazidja16.1,DNA-A,"East African cassava mosaic virus isolate Comoros:Ngazidja16.1 segment DNA-A, complete sequence",2802,complete,Comoros,Comoros,Manihot esculenta,2019-07-04,A,comoros:ngazidja16.1,comoros:ngazidja16.1, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || comoros || comoros || manihot esculenta || 2019-07-04 || comoros:ngazidja16.1
MZ494484,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Nzwani19.4,DNA-A,"East African cassava mosaic virus isolate Comoros:Nzwani19.4 segment DNA-A, complete sequence",2801,complete,Comoros,Comoros,Manihot esculenta,2019-07-05,A,comoros:nzwani19.4,comoros:nzwani19.4, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || comoros || comoros || manihot esculenta || 2019-07-05 || comoros:nzwani19.4
MZ494487,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Mwali3.4,DNA-A,"East African cassava mosaic virus isolate Comoros:Mwali3.4 segment DNA-A, complete sequence",2795,complete,Comoros,Comoros,Manihot esculenta,2019-07-14,A,comoros:mwali3.4,comoros:mwali3.4, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || comoros || comoros || manihot esculenta || 2019-07-14 || comoros:mwali3.4
MZ570970,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV K401,DNA-A,"East African cassava mosaic virus isolate EACMV K401 segment DNA-A, complete sequence",2801,complete,Kenya,Kenya,Manihot esculenta,2018-11-15,A,eacmv k401,eacmv k401, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || kenya || kenya || manihot esculenta || 2018-11-15 || eacmv k401
MZ570971,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV K401,DNA-B,"East African cassava mosaic virus isolate EACMV K401 segment DNA-B, complete sequence",2754,complete,Kenya,Kenya,Manihot esculenta,2018-11-15,B,eacmv k401,eacmv k401, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || kenya || kenya || manihot esculenta || 2018-11-15 || eacmv k401
OL444942,,East African cassava mosaic virus,Begomovirus manihotisafricaense,DSMZ PV-1302,DNA A,"East African cassava mosaic virus isolate DSMZ PV-1302 segment DNA A, complete sequence",2798,complete,Rwanda: Huye,Rwanda,Manihot esculenta,,A,dsmz pv-1302,dsmz pv-1302, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || rwanda: huye || rwanda || manihot esculenta ||  || dsmz pv-1302
OL444943,,East African cassava mosaic virus,Begomovirus manihotisafricaense,DSMZ PV-1302,DNA B,"East African cassava mosaic virus isolate DSMZ PV-1302 segment DNA B, complete sequence",2775,complete,Rwanda: Huye,Rwanda,Manihot esculenta,,B,dsmz pv-1302,dsmz pv-1302, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || rwanda: huye || rwanda || manihot esculenta ||  || dsmz pv-1302
MH646694,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMVCM_GH:AK18B:13,DNA-B,"East African cassava mosaic virus isolate EACMVCM_GH:AK18B:13 segment DNA-B, complete sequence",2733,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,eacmvcm_gh:ak18b:13,eacmvcm-gh:ak18b:13, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || ghana || ghana || manihot esculenta || 2013-08 || eacmvcm-gh:ak18b:13
MG250161,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMVKE_GH:KW11A:13,DNA-A,"East African cassava mosaic virus isolate EACMVKE_GH:KW11A:13, complete genome",2799,complete,Ghana,Ghana,Manihot esculenta,2013-08,A,eacmvke_gh:kw11a:13,eacmvke-gh:kw11a:13, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || ghana || ghana || manihot esculenta || 2013-08 || eacmvke-gh:kw11a:13
MG250162,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMVKE_GH:KW12A:13,DNA-A,"East African cassava mosaic virus isolate EACMVKE_GH:KW12A:13, complete genome",2799,complete,Ghana,Ghana,Manihot esculenta,2013-08,A,eacmvke_gh:kw12a:13,eacmvke-gh:kw12a:13, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || ghana || ghana || manihot esculenta || 2013-08 || eacmvke-gh:kw12a:13
MG250163,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMVKE_GH:KW10A:13,DNA-A,"East African cassava mosaic virus isolate EACMVKE_GH:KW10A:13, complete genome",2799,complete,Ghana,Ghana,Manihot esculenta,2013-08,A,eacmvke_gh:kw10a:13,eacmvke-gh:kw10a:13, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || ghana || ghana || manihot esculenta || 2013-08 || eacmvke-gh:kw10a:13
MG250164,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMVCMGH:AK18A:13,DNA-A,"East African cassava mosaic virus isolate EACMVCMGH:AK18A:13, complete genome",2801,complete,Ghana,Ghana,Manihot esculenta,2013-08,A,eacmvcmgh:ak18a:13,eacmvcmgh:ak18a:13, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || ghana || ghana || manihot esculenta || 2013-08 || eacmvcmgh:ak18a:13
MF974568,,East African cassava mosaic virus (Uganda variant),Begomovirus manihotisafricaense,EACMV-UG_2S-R,DNA-A,"East African cassava mosaic virus (Uganda variant) isolate EACMV-UG_2S-R segment DNA-A, complete sequence",2798,complete,Kenya,Kenya,Markhamia zanzibarica,2017-05-15,A,eacmv-ug_2s-r,eacmv-ug-2s-r, || east african cassava mosaic virus (uganda variant) || begomovirus manihotisafricaense || complete || kenya || kenya || markhamia zanzibarica || 2017-05-15 || eacmv-ug-2s-r
MF067253,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Kch:Mg4:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Kch:Mg4:17 segment DNA A, complete sequence",2816,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:kch:mg4:17,eacmv-tz:kch:mg4:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:kch:mg4:17
MF067254,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Kih:Mg5:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Kih:Mg5:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:kih:mg5:17,eacmv-tz:kih:mg5:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:kih:mg5:17
MF067255,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Krm:Mg11:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Krm:Mg11:17 segment DNA A, complete sequence",2800,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:krm:mg11:17,eacmv-tz:krm:mg11:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:krm:mg11:17
MF067256,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Krm:Mg12:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Krm:Mg12:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:krm:mg12:17,eacmv-tz:krm:mg12:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:krm:mg12:17
MF067257,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Krm:Mg13:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Krm:Mg13:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:krm:mg13:17,eacmv-tz:krm:mg13:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:krm:mg13:17
MF067258,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Kel:Mg17:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Kel:Mg17:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:kel:mg17:17,eacmv-tz:kel:mg17:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:kel:mg17:17
MF067259,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Shi:Mg24:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Shi:Mg24:17 segment DNA A, complete sequence",2799,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:shi:mg24:17,eacmv-tz:shi:mg24:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:shi:mg24:17
MF067260,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Kim:Mg25:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Kim:Mg25:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:kim:mg25:17,eacmv-tz:kim:mg25:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:kim:mg25:17
MF067261,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Mas:Mg30:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Mas:Mg30:17 segment DNA A, complete sequence",2809,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:mas:mg30:17,eacmv-tz:mas:mg30:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:mas:mg30:17
MF067262,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Mas:Mg31:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Mas:Mg31:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:mas:mg31:17,eacmv-tz:mas:mg31:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:mas:mg31:17
MF067263,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Kan:Mg35:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Kan:Mg35:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:kan:mg35:17,eacmv-tz:kan:mg35:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:kan:mg35:17
MF067264,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Eng:Mg38:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Eng:Mg38:17 segment DNA A, complete sequence",2801,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:eng:mg38:17,eacmv-tz:eng:mg38:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:eng:mg38:17
MF067265,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV_TZ:Mam:Mg1:17,DNA A,"East African cassava mosaic virus isolate EACMV_TZ:Mam:Mg1:17 segment DNA A, complete sequence",2814,complete,Tanzania,Tanzania,Manihot glaziovii,2015,A,eacmv_tz:mam:mg1:17,eacmv-tz:mam:mg1:17, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania || manihot glaziovii || 2015 || eacmv-tz:mam:mg1:17
KT799138,,Deinbollia mosaic virus DB_T0,Begomovirus manihotisafricaense,DB_T0,A,"Deinbollia mosaic virus DB_T0 segment A, complete sequence",2761,complete,Tanzania,Tanzania,,2012-04-20,A,db_t0,db-t0, || deinbollia mosaic virus db_t0 || begomovirus manihotisafricaense || complete || tanzania || tanzania ||  || 2012-04-20 || db-t0
KT780439,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,GQ:Bioko:GQ006:13,DNA-B,"East African cassava mosaic virus - Uganda isolate GQ:Bioko:GQ006:13 segment DNA-B, complete sequence",2775,complete,Equatorial Guinea,Equatorial Guinea,Manihot esculenta,2013-12-15,B,gq:bioko:gq006:13,gq:bioko:gq006:13, || east african cassava mosaic virus - uganda || begomovirus manihotisafricaense || complete || equatorial guinea || equatorial guinea || manihot esculenta || 2013-12-15 || gq:bioko:gq006:13
KT780440,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,GQ:Bioko:GQ006:13,DNA-A,"East African cassava mosaic virus - Uganda isolate GQ:Bioko:GQ006:13 segment DNA-A, complete sequence",2798,complete,Equatorial Guinea,Equatorial Guinea,Manihot esculenta,2013-12-15,A,gq:bioko:gq006:13,gq:bioko:gq006:13, || east african cassava mosaic virus - uganda || begomovirus manihotisafricaense || complete || equatorial guinea || equatorial guinea || manihot esculenta || 2013-12-15 || gq:bioko:gq006:13
KM885990,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF54B:07,B,"East African cassava mosaic virus isolate CF:CF54B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14,B,cf:cf54b:07,cf:cf54b:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-14 || cf:cf54b:07
KM885991,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF44B:07,B,"East African cassava mosaic virus isolate CF:CF44B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf44b:07,cf:cf44b:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf44b:07
KM885992,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF553B:07,B,"East African cassava mosaic virus isolate CF:CF553B:07 segment B, complete sequence",2773,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14,B,cf:cf553b:07,cf:cf553b:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-14 || cf:cf553b:07
KM885993,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF24B:07,B,"East African cassava mosaic virus isolate CF:CF24B:07 segment B, complete sequence",2773,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-10,B,cf:cf24b:07,cf:cf24b:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-10 || cf:cf24b:07
KM885994,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF139BE:07,B,"East African cassava mosaic virus isolate CF:CF139BE:07 segment B, complete sequence",2776,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-28,B,cf:cf139be:07,cf:cf139be:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-28 || cf:cf139be:07
KM885995,,East African cassava mosaic virus,Begomovirus manihotisafricaense,TD:TD5BE:08,B,"East African cassava mosaic virus isolate TD:TD5BE:08 segment B, complete sequence",2776,complete,Chad,Chad,Manihot esculenta,2008,B,td:td5be:08,td:td5be:08, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || chad || chad || manihot esculenta || 2008 || td:td5be:08
KM885996,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF783B:07,B,"East African cassava mosaic virus isolate CF:CF783B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-19,B,cf:cf783b:07,cf:cf783b:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-19 || cf:cf783b:07
KM885997,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF351B:08,B,"East African cassava mosaic virus isolate CF:CF351B:08 segment B, complete sequence",2776,complete,Central African Republic,Central African Republic,Manihot esculenta,2008,B,cf:cf351b:08,cf:cf351b:08, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2008 || cf:cf351b:08
KM885998,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF57BE:07,B,"East African cassava mosaic virus isolate CF:CF57BE:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14,B,cf:cf57be:07,cf:cf57be:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-14 || cf:cf57be:07
KM885999,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF105BE:07,B,"East African cassava mosaic virus isolate CF:CF105BE:07 segment B, complete sequence",2776,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25,B,cf:cf105be:07,cf:cf105be:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-25 || cf:cf105be:07
KM886000,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF112BE:07,B,"East African cassava mosaic virus isolate CF:CF112BE:07 segment B, complete sequence",2778,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25,B,cf:cf112be:07,cf:cf112be:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-25 || cf:cf112be:07
KM886001,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF102BE:07,B,"East African cassava mosaic virus isolate CF:CF102BE:07 segment B, complete sequence",2776,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25,B,cf:cf102be:07,cf:cf102be:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-25 || cf:cf102be:07
KM886002,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF150BE:07,B,"East African cassava mosaic virus isolate CF:CF150BE:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-30,B,cf:cf150be:07,cf:cf150be:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-30 || cf:cf150be:07
KM886003,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF1223B:07,B,"East African cassava mosaic virus isolate CF:CF1223B:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-26,B,cf:cf1223b:07,cf:cf1223b:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-26 || cf:cf1223b:07
KM886004,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF30B:07,B,"East African cassava mosaic virus isolate CF:CF30B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-10,B,cf:cf30b:07,cf:cf30b:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-10 || cf:cf30b:07
KM886005,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF140BE:07,B,"East African cassava mosaic virus isolate CF:CF140BE:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-29,B,cf:cf140be:07,cf:cf140be:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || central african republic || central african republic || manihot esculenta || 2007-08-29 || cf:cf140be:07
