Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_011583.1,RefSeq,GCF_000882315.1,,,PRJNA485481,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,EACMKV-[K298],DNA A,"East African cassava mosaic Kenya virus DNA A, complete genome",2797,complete,"Kenya:Machakos, Mitaboni/Ngiini",Kenya,,Manihot esculenta,,"Bull,S.E., Briddon,R.W., Sserubombwe,W.S., Ngugi,K., Markham,P.G., Stanley,J.","National Center for Biotechnology Information, NIH",USA,1,,2008-11-14,ssDNA(+/-),A,eacmkv-[k298],eacmkv-[k298]," || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || kenya:machakos, mitaboni/ngiini || kenya || manihot esculenta ||  || eacmkv-[k298]"
KJ887946.1,GenBank,set:fba5e9cbee7d346152a0a7eb6bb32ef3c4ee47bc,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG181A1:09,A,"East African cassava mosaic Kenya virus isolate MG:MG181A1:09 segment A, complete sequence",2796,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-03,2014-09-24,ssDNA(+/-),A,mg:mg181a1:09,mg:mg181a1:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-03 || mg:mg181a1:09
KJ887947.1,GenBank,set:5e40c8f68055558818c84a880fedb274058b4aad,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG183A1:09,A,"East African cassava mosaic Kenya virus isolate MG:MG183A1:09 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-03,2014-09-24,ssDNA(+/-),A,mg:mg183a1:09,mg:mg183a1:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-03 || mg:mg183a1:09
KJ887948.1,GenBank,set:9e14aa78a29f7cc54a7aebb4c09b953f88b8edee,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG183A3:09,A,"East African cassava mosaic Kenya virus isolate MG:MG183A3:09 segment A, complete sequence",2799,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-03,2014-09-24,ssDNA(+/-),A,mg:mg183a3:09,mg:mg183a3:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-03 || mg:mg183a3:09
KJ887949.1,GenBank,set:59e249a59d3aab8db1af811beef5173cbcbd607b,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG192A1:09,A,"East African cassava mosaic Kenya virus isolate MG:MG192A1:09 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-04,2014-09-24,ssDNA(+/-),A,mg:mg192a1:09,mg:mg192a1:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-04 || mg:mg192a1:09
KJ887950.1,GenBank,set:fc1565ebf3f12774ead6541be320d244c9a571d4,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG207A1:09,A,"East African cassava mosaic Kenya virus isolate MG:MG207A1:09 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-10,2014-09-24,ssDNA(+/-),A,mg:mg207a1:09,mg:mg207a1:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-10 || mg:mg207a1:09
KJ887951.1,GenBank,set:77ccc79dc3bddb4ae8e9e3fa6c07d18d19139099,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG208A1:09,A,"East African cassava mosaic Kenya virus isolate MG:MG208A1:09 segment A, complete sequence",2799,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-10,2014-09-24,ssDNA(+/-),A,mg:mg208a1:09,mg:mg208a1:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-10 || mg:mg208a1:09
KJ887953.1,GenBank,set:1e246a3cd7eeb37ffe2081f4f828df421c171385,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG213A1:09,A,"East African cassava mosaic Kenya virus isolate MG:MG213A1:09 segment A, complete sequence",2799,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-10,2014-09-24,ssDNA(+/-),A,mg:mg213a1:09,mg:mg213a1:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-10 || mg:mg213a1:09
KJ887957.1,GenBank,set:530ee252acc553c14f4b81f71c27e14423960944,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG226A1:10,A,"East African cassava mosaic Kenya virus isolate MG:MG226A1:10 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-04-27,2014-09-24,ssDNA(+/-),A,mg:mg226a1:10,mg:mg226a1:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-04-27 || mg:mg226a1:10
KJ887959.1,GenBank,set:dcebf5bebb60eff6dcc52fd24f553d97fe1e21c2,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG234A1:10,A,"East African cassava mosaic Kenya virus isolate MG:MG234A1:10 segment A, complete sequence",2761,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-04-27,2014-09-24,ssDNA(+/-),A,mg:mg234a1:10,mg:mg234a1:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-04-27 || mg:mg234a1:10
KJ887960.1,GenBank,set:2eb934d19afa0311b5bcd5a32e1528f4674b5758,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG235A2:10,A,"East African cassava mosaic Kenya virus isolate MG:MG235A2:10 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-04-27,2014-09-24,ssDNA(+/-),A,mg:mg235a2:10,mg:mg235a2:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-04-27 || mg:mg235a2:10
KJ887962.1,GenBank,set:1c055e940e92c0543bbd76e9fcfa9965c4fd9ee0,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG239A13:10,A,"East African cassava mosaic Kenya virus isolate MG:MG239A13:10 segment A, complete sequence",2795,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-04-28,2014-09-24,ssDNA(+/-),A,mg:mg239a13:10,mg:mg239a13:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-04-28 || mg:mg239a13:10
KJ887963.1,GenBank,set:705adb5fab08a8e3b3ca902bd951b96ff4636829,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG241A1:10,A,"East African cassava mosaic Kenya virus isolate MG:MG241A1:10 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-04-28,2014-09-24,ssDNA(+/-),A,mg:mg241a1:10,mg:mg241a1:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-04-28 || mg:mg241a1:10
KJ887973.1,GenBank,set:ac265df6ca1d9594468bb2cdd05a74c0b8e2610c,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG294A1:10,A,"East African cassava mosaic Kenya virus isolate MG:MG294A1:10 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-05-03,2014-09-24,ssDNA(+/-),A,mg:mg294a1:10,mg:mg294a1:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-05-03 || mg:mg294a1:10
KJ888035.1,GenBank,set:38879c3d3e7ce6b17056b49fca6eb960763a2c6f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG537A7:11,A,"East African cassava mosaic Kenya virus isolate MG:MG537A7:11 segment A, complete sequence",2799,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-01,2014-09-24,ssDNA(+/-),A,mg:mg537a7:11,mg:mg537a7:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-01 || mg:mg537a7:11
KJ888038.1,GenBank,set:d8d24d9b9bd53bf8262a403eb8444e59522e9109,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG552A2:11,A,"East African cassava mosaic Kenya virus isolate MG:MG552A2:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-01,2014-09-24,ssDNA(+/-),A,mg:mg552a2:11,mg:mg552a2:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-01 || mg:mg552a2:11
KJ888047.1,GenBank,set:955cef8b7b564dcb8da06597bd2c02dda63ca54b,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG578A2:11,A,"East African cassava mosaic Kenya virus isolate MG:MG578A2:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-02,2014-09-24,ssDNA(+/-),A,mg:mg578a2:11,mg:mg578a2:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-02 || mg:mg578a2:11
KJ888048.1,GenBank,set:63aa1136b389bed0a5b83e545ca2f6453a91d3bd,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG579A3:11,A,"East African cassava mosaic Kenya virus isolate MG:MG579A3:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-02,2014-09-24,ssDNA(+/-),A,mg:mg579a3:11,mg:mg579a3:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-02 || mg:mg579a3:11
KJ888050.1,GenBank,set:2d5f8d606ff23587b71ca52b97f72e6b08ab4ab7,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG582A1:11,A,"East African cassava mosaic Kenya virus isolate MG:MG582A1:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-02,2014-09-24,ssDNA(+/-),A,mg:mg582a1:11,mg:mg582a1:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-02 || mg:mg582a1:11
KJ888051.1,GenBank,set:9bab1466fbfaa52ac8c528d3f6fd68e6c61338b9,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG583A1:11,A,"East African cassava mosaic Kenya virus isolate MG:MG583A1:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-02,2014-09-24,ssDNA(+/-),A,mg:mg583a1:11,mg:mg583a1:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-02 || mg:mg583a1:11
KJ888053.1,GenBank,set:5aa096d31f6db43bdc82ecdd83d9c25c1937ad81,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG584A6:11,A,"East African cassava mosaic Kenya virus isolate MG:MG584A6:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-02,2014-09-24,ssDNA(+/-),A,mg:mg584a6:11,mg:mg584a6:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-02 || mg:mg584a6:11
KJ888055.1,GenBank,set:eed2af9077e2254197cfae0015029fea3a84a729,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG603A5:11,A,"East African cassava mosaic Kenya virus isolate MG:MG603A5:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-03,2014-09-24,ssDNA(+/-),A,mg:mg603a5:11,mg:mg603a5:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-03 || mg:mg603a5:11
KJ888058.1,GenBank,set:c070be121ce2ad39be99b0eaddd1fb1002b3ef8c,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG619A1:11,A,"East African cassava mosaic Kenya virus isolate MG:MG619A1:11 segment A, complete sequence",2775,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-03,2014-09-24,ssDNA(+/-),A,mg:mg619a1:11,mg:mg619a1:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-03 || mg:mg619a1:11
KJ888061.1,GenBank,set:3f5667063f92ed5157fc9902fd9818483e6deed9,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG619A2:11,A,"East African cassava mosaic Kenya virus isolate MG:MG619A2:11 segment A, complete sequence",2775,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-03,2014-09-24,ssDNA(+/-),A,mg:mg619a2:11,mg:mg619a2:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-03 || mg:mg619a2:11
KJ888066.1,GenBank,set:4c9cf3cda39c77c275c3d340f6ce9653e55b09fe,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG632A1:11,A,"East African cassava mosaic Kenya virus isolate MG:MG632A1:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg632a1:11,mg:mg632a1:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg632a1:11
KJ888068.1,GenBank,set:5882121098c96fadf0c5b3b89f66172c41e05da4,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG633A7:11,A,"East African cassava mosaic Kenya virus isolate MG:MG633A7:11 segment A, complete sequence",2796,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg633a7:11,mg:mg633a7:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg633a7:11
